列1,列2,列3
pathetic,a.哀婉动人的；可怜的,
splash,vt.溅泼,vi.泼水
microprocessor,n.微信息处理机,
shadowy,a.有影的；幽暗的,
enroll,vt.登记，招收vi.参军,
tightly,ad.紧地，牢固地,
criterion,n.标准，准则，尺度,
epoch,n.(新)时代；历元,
propaganda,n.宣传；宣传机构,
lobby,n.前厅，(剧院的)门廊,
detain,vt.耽搁；扣押，拘留,
theft,n.盗窃，偷窃(行为),
groove,n.槽,vt.开槽于
litter,n.废物，杂乱,vi.乱扔
telex,n.电传，用户电报,
municipal,a.市的，市立的,
soy,n.酱油；大豆，黄豆,
sensor,n.传感器，灵敏元件,
wretched,a.不幸的；卑鄙的,
elbow,vt.用肘挤，挤进,
inlet,n.进口，水湾,vt.引进
pipe,n.管乐器,
singular,a.异常的，奇异的,
consumer,n.消费者，用户,
unpaid,a.未付的；不支薪水的,
algebra,n.代数学,
greed,n.贪心，贪婪,
mammal,n.哺乳动物,
move,n.行动，步骤,
compensation,n.补偿，赔偿，赔偿费,
jelly,n.冻，果子冻；胶状物,
clockwise,a.&ad.顺时针方向转的,
inaugurate,vt.开始；使就职,
plunder,v.&n.掠夺，劫掠,
endow,vt.资助；赋予，授予,
bacterium,复数：bacteria,n.细菌；拳击迷
initially,ad.最初，开始,
offensive,a.冒犯的；进攻的,
fortress,n.堡垒，要塞,
generate,vt.发生，产生；生成,
flock,vi.群集，聚集,
counsel,n.商议；忠告；律师,
fascinate,vt.迷住,vi.迷人
discourse,n.讲话，演说，讲道,
oval,a.卵形的,n.卵形
flank,n.肋，肋腹；侧面,
enlighten,vt.启发，开导；启蒙,
synthesis,n.合成；综合，综合物,
negative,a.负的，阴性的,
grunt,vi.作呼噜声；咕哝,
box,n.专席,
menace,vt.&vi.&n.(进行)威胁,
makeup,n.组织；性格；化装品,
retort,vt.&vi.反击；反驳,
peacock,n.孔雀,
circus,n.马戏；马戏团,
momentary,a.瞬息间的，片刻的,
mustard,n.芥子，芥末,
float,n.漂浮物；浮标，木筏,
Jupiter,n.丘庇特；木星,
extreme,n.极端不同的性质,
brightness,n.明亮，辉煌，聪明,
clutch,vt.抓住,vi.掌握，攫
yeast,n.酵母,
colonist,n.移民；殖民地居民,
pose,vt.(使)摆好姿势,
piston,n.活塞,
wither,vi.枯萎,vt.使衰弱
particular,a.苛求的；特称的,
projector,n.投影仪；探照灯,
ticket,n.(交通违章)罚款传票,
crisp,a.脆的；卷曲的,
peer,vi.凝视；隐约出现,
steal,vt.偷偷地做，巧取,
postal,a.邮政的，邮局的,
warehouse,n.仓库，货栈,
seam,n.缝口；接缝；骨缝,
energetic,a.积极的；精力旺盛的,
growl,vi.(狗等)嗥叫；咆哮,
decree,n.法令，政令；教令,
ass,n.驴；傻瓜，蠢笨的人,
finite,a.有限的；有尽的,
trench,n.深沟；壕沟，战壕,
random,n.随机,a.随机的
sensation,n.感觉，知觉；轰动,
idealism,n.唯心主义；理想主义,
handout,n.施舍物，救济品,
toss,vi.翻来复去,
lengthen,vt.使延长,vi.变长
follow,vt.从事(职业)，经营,
censor,vt.审查，检查,
bypass,n.旁通管,vt.绕过
subsidiary,a.辅助的，补充的,
contrary,n.反对命题,
siren,n.汽笛，警报器,
wrinkle,n.皱纹,vt.使起皱纹
bed,n.河床，(湖)底，矿床,
waver,vi.摇摆；犹豫不决,
inertia,n.惯性，惯量；无力,
prairie,n.大草原，牧场,
foul,a.肮脏的；丑恶的,
optimum,n.最适条件，最适度,
ascend,vi.攀登，登高；追溯,
woodpecker,n.啄木鸟,
religion,n.信念，信条,
barometer,n.气压计，睛雨表,
environmental,a.环境的，环境产生的,
alongside,prep.在…旁边,
thermal,a.热的；温泉的,
enterprise,n.艰巨的事业；事业心,
scan,n.扫描，扫掠,
strive,vi.努力，奋斗，力求,
glider,n.滑翔机；滑翔导弹,
underestimate,vt.低估，看轻,
specialize,vt.使专门化，专业化,
delegate,n.代表，委员，特派员,
domestic,a.养在家里的,
ear,n.(稻麦等的)穗,
default,n.&vi.不履行；缺席,
slumber,n.睡眠；沉睡状态,
adjustable,a.可调整的，可校准的,
ambient,a.周围的，包围着的,
dizzy,a.头晕眼花的，眩晕的,
remainder,n.剩余(物)；余数,
tradesman,n.商人；手艺人,
notify,vt.通知，告知；报告,
fitting,a.适当的,n.配合
certainty,n.确实性，确信，确实,
aerial,a.空气的；航空的,
latent,a.存在但看不见的,
fort,n.要塞，堡垒,
veto,n.否决，否决权，禁止,
tangle,vt.使缠结，使纠缠,
mishief,n.调皮，捣蛋，胡闹,
bald,a.秃头的；无毛的,
suicide,n.&vi.&vt.自杀,
ignite,vt.引燃,vi.着火
hydraulic,a.水力的；水力学的,
perish,vi.死亡，夭折；枯萎,
stiff,a.生硬的,
presumably,ad.推测起来，大概,
reservation,n.保留；预定，预订,
counter,a.&ad.相反的(地),
filth,n.污秽，污物；淫猥,
footpath,n.小路，人行道,
hardy,a.强壮的，耐劳的,
illiterate,a.文盲的,n.文盲
ambitious,a.有雄心的；热望的,
sequence,n.序列,
cock,n.旋塞，开关，龙头,
kernel,n.(果实的)核；谷粒,
jewellery,n.珠宝，珠宝饰物,
eclipse,n.(日，月)食,
respectable,a.可敬的；人格高尚的,
rapidity,n.快，迅速；陡，险峻,
operation,n.运算,
notable,n.值得注意的；著名的,
destructive,a.破坏(性)的，危害的,
dominate,vt.统治，支配，控制,
dust,n.垃圾，废品，灰烬,
humanitarian,a.博爱的,n.慈善家
ordinarily,ad.通常，大概,
evaporate,vt.使脱水vi.发散蒸气,
retirement,n.退休，引退；退隐,
lunar,a.月亮的,
foam,n.泡沫；泡沫塑料,
reckless,a.粗心大意的；鲁莽的,
wrench,vt.拧，扭伤,n.拧
frail,a.脆弱的；意志薄弱的,
denote,vt.指示，意味着,
destiny,n.命运，天数,
partition,n.分开，分割；融墙,
flame,vi.发火焰,vt.点燃
toad,n.蟾蜍，癞蛤蟆,
earnings,n.工资，收入；收益,
persuasion,n.劝说，说服；主张,
mistress,n.情妇，情人,
sign,n.征兆，迹象，病症,
monstrous,a.可怕的；极大的,
cling,vi.粘住；依附；坚持,
stillness,n.寂静，无声,
generalize,vt.概括出vi.形成概念,
deprive,vt.夺去；使(人)失去,
incomplete,a.不完全的，未完成的,
onward(s),a.向前(的)，在前面,
catalogue,vt.为…编目录,
summary,a.概括的；速决的,
subsequently,ad.其后，其次，接着,
jerk,vt.猛地一拉,vi.急拉
slander,n.&vt.诽谤，诋毁,
answer,vi.符合，适合,
dismay,n.惊慌，沮丧，灰心,
pamphlet,n.小册子,
terminate,vt.&vi.停止，终止,
transmission,n.遗传，传染,
velvet,a.丝绒制的；柔软的,
sensible,a.明显的，感觉得到的,
incidentally,ad.附带地；顺便提及,
vital,a.生命的，生机的,
collaborate,vi.协作，合作；协调,
nursery,n.苗圃，养鱼池,
buffalo,n.水牛；水陆坦克,
fringe,n.穗，毛边；边缘,
facilitate,vt.使容易；助长,
leopard,n.豹,
clearing,n.(森林中的)空旷地,
infer,vt.&vi.猜想，臆测,
sardine,n.沙丁鱼,
ideally,ad.理想地；理论上,
graze,vi.喂草；放牧(牲畜),
reference,n.参考文献；参照系,
obscure,a.阴暗的；蒙昧的,
budget,n.预算，预算案,
corrupt,vt.贿赂,a.腐败的
strange,a.外地的，异乡的,
workshop,n.专题讨论会,
cloudy,a.混浊的；模糊不清的,
quantify,vt.确定…的数量,
tower,vi.高耸，屹立；翱翔,
slack,a.萧条的；懈怠的,
dove,n.鸽子，斑鸠,
capability,n.能力，才能；性能,
orientation,n.向东；定位；方向,
enrich,vt.使富裕；使丰富,
insight,n.洞察力，洞悉，见识,
seaside,n.海滨(胜地)；海边,
spatial,a.空间的，占据空间的,
forthcoming,a.即将到来的；现有的,
thorough,a.精心的；详尽的,
howl,n.嚎叫；哀号,vi.吠
qualification,n.资格；限制条件,
eastward,a.&ad.向东的，向东,
marginal,a.记在页边的；边缘的,
value,vt.尊重，重视，评价,
correlation,n.相互关系；对射,
plump,vt.丰满的；鼓起的,
decompose,vt.&vi.腐败；分解,
fling,vi.&vt.(用力)扔，抛,
drain,vi.(水等)流掉,
yearn,vi.想念，怀念，向往,
muse,vi.沉思，默想，冥想,
balcony,n.阳台；楼厅，楼座,
royalty,n.皇家，王族，皇族,
plastic,a.塑料的；塑性的,
assurance,n.保证；财产转让书,
hound,n.狗；角鲨；卑鄙的人,
embody,vt.体现；包含，收录,
milky,a.牛奶的；乳白色的,
wasteful,a.浪费的；破坏性的,
diminish,vt.减少，减小，递减,
occurrence,n.事故,
invariably,ad.不变地，永恒地,
portable,a.可移动的,
challenge,n.艰巨任务；要求回避,
tyranny,n.暴政，专制；残暴,
rash,a.轻率的；鲁莽的,
fell,vt.砍倒(树等)；砍伐,
persecute,vt.迫害，残害,
fair,a.美丽的,
spectacle,n.场面；景象，奇观,
degradation,n.降级；退化；衰变,
profound,a.深刻的；渊博的,
sniff,vi.用鼻子吸,vt.嗅
untie,vt.解开，松开；解放,
paralyse,vt.使麻痹，使瘫痪,
deposition,n.免职，罢免；口供,
inasmuch,ad.因为，由于,
yolk,n.蛋黄，卵黄,
suspicious,a.可疑的；猜疑的,
membership,n.成员资格；会员人数,
nominate,vt.提名，推荐；任命,
bronze,n.青铜色,
number,vt.共计，达…之数,
symphony,n.交响乐；交响乐团,
species,n.种，物种；种类,
elegant,a.(举止、服饰)雅致的,
conceit,n.自负，自高自大,
distract,vt.分散(心思)；打扰,
bamboo,n.竹；竹杆，竹棍,
trot,vi.&n.(马)小跑，慢跑,
migrate,vi.迁移，移居,
fence,n.击剑(术),vi.击剑
opium,n.鸦片；麻醉剂,
bandit,n.土匪，盗匪，歹徒,
inaccessible,a.达不到的，难接近的,
ambassador,n.大使，使节,
Jesus,n.耶稣,
windy,a.多风的，刮风的,
question,vt.问，询问，讯问,
awful,a.威严的；令人崇敬的,
inclusive,a.包围住的；包括的,
competitive,a.竞争的，比赛的,
alignment,n.队列；结盟，联合,
minimize,vt.使减到最小,
emission,n.散发；传播；发出物,
hollow,vt.凿空,vi.变空
suit,vt.使配合vi.彼此协调,
echo,vt.反射(声音等),
decisive,a.决定性的；果断的,
hydrocarbon,n.烃，碳氢化合物,
preside,vi.主持；主奏,
by-product,n.副产品,
stereo,n.立体声,a.立体声的
troublesome,a.累赘的，困难的,
overhang,vt.悬于…之上vi.悬垂,
hide,n.生皮，兽皮，皮革,
province,n.领域，范围，职权,
mob,vi.聚众闹事,
pedal,n.踏脚，踏板，脚蹬,
banker,n.银行家,
grope,vi.(暗中)摸索，探索,
handy,a.方便的；便于使用的,
immerse,vt.沉浸；给…施洗礼,
inaccurate,a.不精密的，不准确的,
psychology,n.心理学；心理,
dismiss,vt.忘掉,
hostess,n.女主人；旅馆女老板,
interface,n.分界面,
couch,n.睡椅，长沙发椅,
empirical,a.经验主义的,
alas,int.唉，哎呀,
illuminate,vt.照明，照亮；阐明,
excuse,vt.与…辩解；使免除,
shark,n.鲨鱼；贪婪狡猾的人,
vitamin,n.维生素，维他命,
dry,a.干巴巴的，枯燥的,
witty,a.机智的；风趣的,
jealousy,n.妒忌，嫉妒，猜忌,
brand,vt.在…上打烙印,
tuna,n.金枪鱼,
dictator,n.独裁者，专政者,
blouse,n.女衬衫；童衫；罩衫,
popularity,n.通俗性；普及，流行,
storage,n.贮藏，保管；仓库,
cite,vt.引用，引证；举例,
amusement,n.娱乐，消遣，乐趣,
transform,vt.变压；变换,
vector,n.矢量；飞机航线,
mighty,a.强大的；巨大的,
split,n.分裂，分化；派系,
selection,n.精选的东西；选择,
implement,n.工具，服装,vt.贯彻
roam,vt.在…漫步，漫游,
realistic,a.现实的；现实主义的,
pregnant,a.怀孕的；意义深长的,
legislation,n.立法；法规,
massacre,n.大屠杀，残杀,
moss,n.苔藓，地衣,
universally,ad.普遍地，一般地,
pirate,n.海盗；每盗船,
inject,vt.注射；注满；喷射,
kidney,n.肾，腰子；性格,
convey,vt.传达；传播；转让,
cable,n.海底电报,
zinc,n.锌,vt.在…上镀锌
derivation,n.引出；起源；衍生,
normalization,n.正常化，标准化,
barren,a.贫瘠的；不妊的,
trolley,n.手推车；无轨电车,
halve,vt.对分；平摊,
head,vt.用头顶(球)vi.出发,
plain,a.坦白的；普通的,
skip,vi.跳；跳绳；略过,
check,n.支票，帐单,
siege,n.包围，围攻，围困,
theorem,n.定理；原理，原则,
anybody,n.重要人物,
lattice,n.格子；点阵，网络,
boiler,n.锅炉；热水贮槽,
constitute,vt.构成，组成,
flux,n.流；涨潮；流量,
monopoly,n.垄断，独占，专利,
resemblance,n.相似，相似性,
shrub,n.灌木，灌木丛,
watt,n.瓦(特),
ballet,n.芭蕾舞；舞剧,
gnaw,vt.啃，咬断,vi.啮
radial,a.光线的；放射的,
stall,n.货摊，书摊；厩,
hypothesis,n.假设；前提,
confidential,a.秘密的；亲信的,
reason,vt.辩论，讨论,
conception,n.概念，观念，想法,
row,n.吵嚷，吵架，口角,
napkin,n.餐巾(纸),
block,n.阻塞；障碍物；炮闩,
tactics,n.策略；战术，兵法,
radiant,a.绚丽的；容光焕发的,
outlaw,n.逃犯，歹徒,
validity,n.有效，效力；正确,
battle,vi.战斗,vt.与…作战
through,prep.因为，由于,
shade,n.(色彩的)浓淡，深浅,
jean,n.斜纹布，牛仔裤,
roundabout,a.迂回的；转弯抹角的,
end,n.目标，目的,
composition,n.组成，构成，结构,
magnitude,n.大小；重大；星等,
uncertain,a.不定的；无常的,
apparent,a.显然的,
claim,n.权利，所有权,
option,n.选择，取舍,
immigrate,vt.(使)移居入境,
promotion,n.促进；提升；创立,
lubricate,vt.使润滑vi.加润滑油,
destine,vt.命定，注定；预定,
oxidize,vt.氧化，使生锈,
patrol,n.巡逻,n.巡逻，巡查
blue,a.伤心的；下流的,
valuable,n.贵重物品，财宝,
ascribe,vt.把…归于,
provoke,vt.对…挑衅；激发,
inorganic,a.无生物的；无机的,
charter,vt.租,n.宪章；契据
stitch,n.一针，缝线,vt.缝
concern,n.所关切的事；商行,
develop,vt.使(颜色等)显现,
volunteer,n.志愿者,vt.志愿
nose,n.突出部分(如船头等),
fluctuation,n.波动；脉动；踌躇,
tropic,n.热带地区；回归线,
hurl,vt.猛投,vi.猛冲
plague,n.瘟疫，鼠疫；天灾,
panther,n.豹，黑豹；美洲狮,
proton,n.质子，氕核,
arc,n.弧，弓形物；弧光,
indefinite,a.无限期的,
dwarf,n.矮子，侏儒,
glossary,n.词汇表；术语汇编,
inevitably,ad.不可避免地,
monarch,n.君主，最高统治者,
junction,n.连接；接头；中继线,
consul,n.领事,
deafen,vt.使聋；使隔音,
rap,n.轻敲击声,vt.敲击
wag,vt.摇，摇摆，摆动,
line,vt.加衬里于,
troop,n.一群，一队，大量,
clap,n.拍手喝采声；霹雳声,
scarlet,n.猩红色,a.猩红的
pattern,vt.仿制，仿造，模仿,
interpret,vt.解释,vi.口译
propulsion,n.推进，推进力,
disorder,n.疾病，小病,
treasurer,n.司库，财务主管,
pedestrian,n.行人，步行者,
impart,vt.给予，传递；告诉,
support,vt.经受，承受，忍受,
deepen,vt.加浓,
mechanics,n.力学，机械学；结构,
notwithstanding,prep.尽管，虽然,
market,vt.(在市场上)销售,
parachute,n.降落伞；风散种子,
ultimate,a.基本的，首要的,
adhere,vi.粘附；追随；坚持,
mingle,vt.使混合vi.混合起来,
nice,a.细微的，微妙的,
firework,n.爆竹，花炮，烟火,
edit,vt.编辑，编纂；校订,
shortcut,n.近路，捷径,
liable,a.有(法律)责任的,
deal,vi.做买卖；对付,
bazaar,n.集市，廉价商店,
bestow,vt.把…赠与,
consciousness,n.意识，知觉，觉悟,
regiment,n.团，军团；一大群,
calculus,n.微积分；结石,
insignificant,a.无意义的；低微的,
shrine,n.神殿，神龛，圣祠,
analogy,n.相似，类似；比拟,
unlock,vt.开…的锁；开启,
longitude,n.经线，经度,
difficult,a.难以满足的,
currently,ad.普遍地；当前,
revive,vt.&vi.苏醒；复兴,
crack,vi.&vt.发出爆裂声,
knight,n.骑士，武士；爵士,
revenue,n.收入；收入数目,
cleanliness,n.清洁,
simplicity,n.单纯，质朴,
response,n.回音，回签；灵敏度,
trigger,n.扳机,vt.触发，引起
Roman,n.罗马人，古罗马人,
hum,n.嗡嗡声,vt.哼曲子
ranch,n.(北美洲的)大牧场,
outbreak,n.(战争、愤怒等)爆发,
tread,vi.&vt.踩，踏，践踏,
crash,vi.撞坏，摔坏，砸碎,
firmness,n.坚固，坚定，稳固,
escort,n.&vt.护卫，护送,
segment,n.切片，部分；段，节,
cosmic,a.宇宙的；广大无边的,
enhance,vt.提高，增加；夸张,
coward,a.懦怯的，胆小的,
kit,n.成套工具；用具包,
distortion,n.弄歪，歪曲；畸变,
tabulate,vt.把…制成表,
flight,n.溃退，逃跑；外流,
diversion,n.转移；改道；娱乐,
program,vi.编制程序,
intent,a.目不转睛的，热切的,
breed,n.(动物)品种,
tack,n.平头打,vt.钉住
petty,a.细小的；器量小的,
attorney,n.代理人；辩护律师,
baseball,n.棒球；棒球运动,
versus,prep.(比赛等中)对,
announce,vt.报告…的来到,
bleach,vt.漂白,vi.变白
friction,n.擦热皮肤,
miser,n.守财奴，吝啬鬼,
transverse,a.横切的,n.横轴
range,vt.排列；把…分类,
dedicate,vt.奉献；献身,
spokesman,n.发言人，代言人,
array,vt.装扮,n.队列；排列
frequent,a.常见的；频繁的,
formidable,a.可怕的；难对付的,
homogeneous,a.同类的；均匀的,
underwear,n.衫衣，内衣，贴身衣,
attendance,n.到场；出席人数,
sodium,n.钠,
invoice,n.发票，发货清单,
hoarse,a.(声音)嘶哑的,
beam,vi.发光，发热；微笑,
shipment,n.装货；装载的货物,
handbook,n.手册，便览，指南,
torment,n.痛苦,vt.折磨
liability,n.责任；倾向；债务,
bachelor,n.未婚男子；学士,
vulgar,a.粗俗的，庸俗的,
negotiate,vi.谈判，交涉，议定,
chill,vi.感到寒冷；冷淬,
doom,n.命运，毁灭,vt.注定
spill,n.(人)摔下，跌下,
waggon,n.敞蓬车厢,
squeeze,n.压榨；榨取，佣金,
terrace,n.平台，阳台，露台,
precede,vt.先于…,vi.领先
stray,vi.迷路,a.迷路的
practicable,a.能实行的；适用的,
proposition,n.命题，主题；提议,
formulation,n.明确的表达,
loosely,ad.松松地，松散地,
hiss,n.嘶嘶声,vi.嘶嘶作声
terrify,vt.使恐怖，使惊吓,
battery,n.炮兵连；兵器群,
kindle,vt.点燃,vi.着火
smash,vt.打碎，打破，粉碎,
track,vi.留下足迹,
deviate,vt.(使)背离，偏离,
expenditure,n.(时间等)支出，消费,
contradict,vt.反驳，否认,
coin,vt.铸造(硬币),
contrast,vt.使对比vi.形成对比,
overhear,vt.偶然听到；偷听,
virtual,a.实际上的，实质上的,
devotion,n.献身，热诚，专心,
tile,n.瓦片，瓷砖；贴砖,
grove,n.林子，小树林，园林,
shell,n.炮弹，猎枪子弹,
bandage,n.绷带，包带,
resident,n.常住者,
estate,n.房地产；财产，产业,
constituent,a.形成的,n.选民
inference,n.推论；推断的结果,
fracture,n.破裂；裂痕,vi.破裂
softness,n.温和，柔和；软弱,
melancholy,n.&a.忧郁(的)，悲伤,
prey,vi.猎物,vi.捕获
overload,vt.使超载,
intonation,n.语调，声调；发声,
saturation,n.饱和(状态)；浸透,
fabricate,vt.制作，组合；捏造,
straightforward,a.老实的,ad.坦率地
hoist,vt.升起,vi.扯起来
mock,n.嘲弄,vt.嘲弄，挖苦
landscape,n.风景，景色，景致,
infect,vt.使受影响,
reserve,n.缄默，自我克制,
trample,vt.&vi.&n.践踏，蹂躏,
hike,vi.作长途徒步旅行,
invalid,n.病人,a.有病的
appendix,n.附录，附属物；阑尾,
prestige,n.威望，威信，声望,
alternate,vt.使交替,a.交替的
execution,n.实行，执行；处死刑,
Heaven,n.上帝，神,
scandal,n.丑事，丑闻；耻辱,
extraordinarily,ad.非常地，特别地,
uphold,vt.举起；支撑；赞成,
solidarity,n.团结；休戚相关,
irregularity,n.不规则；不整齐,
suppress,vt.镇压；抑制；隐瞒,
hit,n.轰动一时的人(或事),
emerge,vi.浮现，出现；显露,
nucleus,n.原子核；细胞核,
clasp,vt.扣住，扣紧，钩住,
version,n.解释,
catalyst,n.催化剂；刺激因素,
orient,n.东方；亚洲，远东,
sharply,ad.严厉地，苛刻地,
drawback,n.退款；妨碍；弊端,
rate,n.价格,vt.对…评定
closet,n.小房间；壁碗橱,
motorway,n.汽车道，快车路,
flavour,vt.给…调味,
northward(s),ad.向北方,a.向北的
succession,n.继承(权)，后裔,
Christian,a.基督教的,
crab,n.蟹，蟹肉,vi.捕蟹
switch,n.(树木的)软枝条,
subscribe,vi.订购，认购；预订,
reject,vt.舍弃，抛弃；排斥,
lipstick,n.唇膏，口红,
ample,a.足够的；宽敞的,
anniversary,n.周年纪念日,
poll,n.投票,vi.投票
icy,a.冰冷的；冷冰冰的,
confidence,n.私房话，秘密，机密,
conform,vt.使遵守,vi.一致
fro,ad.往，去，回，向后,
literal,a.文字(上)的；字面的,
cross,a.易怒的；杂交的,
standardize,vt.使与标准比较,
whereby,ad.靠什么；靠那个,
resolute,a.坚决的，果敢的,
hurt,n.损伤，伤害，创伤,
degrade,vt.使降给；使堕落,
charge,n.负荷；充电,vt.装满
mop,n.墩布，洗碗刷,
ion,n.离子,
allowance,n津贴，补助费,
evil,n.邪恶，罪恶；祸害,
token,n.象征；辅币；纪念品,
sullen,a.绷着脸不高兴的,
grab,vt.&vi.攫取，抓取,
windmill,n.风车,
regulate,vt.调整，调节，对准,
systematic,a.成体系的；分类的,
antique,a.古代的,n.古物
editorial,n.社论，期刊的社论,
press,n.印刷机，印刷所,
moor,vt.使停泊；使固定,
principally,ad.主要，大抵,
grief,n.悲哀，悲痛，悲伤,
pledge,n.誓言,vt.使发誓
dock,vt.把…引入船坞,
indicative,a.指示的；陈述的,
repay,vt.&vi.偿还，报答,
tensile,a.张力的；能伸长的,
snobbish,a.势利的，谄上欺下的,
identification,n.认出，鉴定；身份证,
duplicate,n.复制品,vt.复制
fastener,n.扣件，钮扣，揿钮,
ingredient,n.配料，成分,
regime,n.政体，政权；制度,
rectify,vt.纠正；调整；精馏,
tar,n.柏油，焦油,
team,vi.协作，合作,
sideways,ad.斜向一边地,
producer,n.生产者；舞台监督,
commonwealth,n.共和国；联邦,
lever,n.途径，工具，手段,
embarrass,vt.使负债；使复杂化,
whisper,vt.低声地讲，私下说,
beware,vt.&vi.谨防，当心,
proper,a.合乎体统的，正派的,
detective,n.侦探，密探,
barge,n.驳船；大型游船,
axial,a.轴的；轴向的,
nourish,vt.提供养分，养育,
shameful,a.可耻的；不道德的,
hurrah,int.好哇，万岁，乌拉,
quartz,n.石英,
streamline,n.流线；流线型,
muscular,a.肌肉发达的，强健的,
wield,vt.挥(剑)；行使,
jack,n.起重器；传动装置,
blaze,vt.使燃烧,vi.燃烧
intermediate,n.中间体；调解人,
masculine,a.男性的；强壮的,
questionable,a.可疑的，不可靠的,
soften,vt.使软化,vi.变软弱
monster,n.怪物；畸形的动植物,
gravel,n.砂跞；砂砾层；结石,
exclusive,a.除外的；孤傲的,
bushel,n.蒲式耳(容量单位),
cherish,vt.珍爱；怀有(感情),
except,vt.把…除外，除去,
opaque,a.不透明的；不传导的,
accord,n.调和，符合；协议,
mast,n.桅杆；杆,vt.扯帆
plea,n.请愿，请求，恳求,
rotate,vt.&vi.(使)旋转,
persist,vi.持续，存留,
optical,a.光的；光学的,
preach,vt.说教，布道；鼓吹,
impartial,a.公正的，无偏见的,
dine,vi.吃饭,vt.宴请
jingle,vt.&vi.(使)丁当响,
civilian,n.平民,a.平民的
yoke,n.轭，牛轭；枷锁,
chord,n.(乐器的)弦,vi.协调
deem,vt.认为，相信,vi.想
retard,vt.延迟，放慢,
constitution,n.(人的)体格，素质,
tact,n.机敏，圆滑，得体,
referee,n.(足球等)裁判员,
bank,vi.把钱存入银行,
stagger,vi.蹒跚,vt.使摇晃
cereal,n.谷类，五谷，禾谷,
consumption,n.消费(量)，灭绝,
swell,vi.&vt.使膨胀，隆起,
experimentally,ad.实验上，实验性地,
enclosure,n.围绕；围场，围栏,
innovation,n.创新，改革，新设施,
fuss,n.忙乱；吹捧,vi.忙乱
parameter,n.参(变)数；参量,
laundry,n.送洗衣店去洗的东西,
visit,vt.常去,
shipbuilding,n.造船(业)，造船学,
combustion,n.燃烧；氧化；骚动,
burial,n.安葬，埋葬，埋藏,
gigantic,a.巨大的；巨人似的,
commodity,n.日用品，商品，物品,
linear,a.线的；长度的,
bacon,n.咸猪肉，熏猪肉,
oyster,n.牡蛎；沉默寡言的人,
reproduction,n.再生(产)；繁殖,
assassinate,vt.暗杀，行刺；中伤,
stainless,a.纯洁的；不锈的,
devour,vt.吞食；吞灭，毁灭,
alteration,n.变更，改变；蚀变,
garlic,n.蒜，大蒜,
disillusion,n.觉醒,vt.使觉醒
idiot,n.白痴；傻子,
distinctly,ad.显然，清楚地,
axle,n.(轮)轴，车轴，心棒,
excess,n.过度行为，暴行,
scramble,vi.&n.爬行，攀登,
metallurgy,n.冶金学，冶金术,
fore,ad.在前面,a.先前的
primitive,a.远古的，未开化的,
sociology,n.社会学,
strip,n.窄条，长带,
perception,n.感觉；概念；理解力,
versatile,a.多方面的；通用的,
circular,n.传单，通报，通函,
forge,vt.打(铁等)，锻造,
sheer,a.纯粹的；全然的,
thrill,vt.&vi.(使)激动,
pitch,n.人造树脂,
reconcile,vt.使和好；调停,
exert,vt.发挥(威力)，施加,
frequency,n.频繁，屡次；频率,
peel,n.果皮，蔬菜皮,
waitress,n.女侍者，女服务员,
photoelectric,a.光电的,
questionnaire,n.调查表，征求意见表,
measurement,n.(量得的)尺寸，大小,
can,vt.装罐头,
whitewash,n.石灰水,vt.粉饰
defy,vt.向…挑战；蔑视,
malice,n.恶意；蓄意犯罪,
ecology,n.生态学；个体生态学,
shuttle,n.(织机的)梭,
everlasting,a.永久的；持久的,
whilst,conj.同…同时；然而,
refreshment,n.(精力的)恢复，爽快,
incorporate,vt.结合，合并，收编,
cautious,a.小心的，谨慎的,
puff,vi.喘气,vt.喷(烟等)
vocabulary,n.词汇表，词汇汇编,
intellect,n.理智，智力，才智,
notorious,a.臭名昭著的,
impress,vt.盖印，在…打记号,
handicap,vt.妨碍，使不利,
convert,vt.转变，改变，变换,
outlet,n.发泄(感情等)的方法,
tranquil,a.平静的；稳定的,
earthenware,n.陶器,
fertile,a.(创造力)丰富的,
platform,n.政纲，党纲，宣言,
overall,a.综合的,n.工作服
junior,n.年少者；晚辈,
southwards,ad.向南方,
compatible,a.一致的；兼容制的,
deliberate,a.深思熟虑的；审慎的,
mesh,n.网眼，筛孔，网络,
shrimp,n.(小)虾，河虾，褐虾,
wade,vt.趟(河)，跋涉,
extract,vt.取出；榨取,n.摘录
patriotic,a.爱国的,
latitude,n.纬度；黄纬,
baron,n.男爵；贵族；巨商,
fearless,a.无畏的，大胆的,
homely,a.家庭的；家常的,
subscript,a.写在下方的,n.下标
subdue,vt.使屈服，征服,
preset,vt.预先装置,
stew,vt.炖,vi.炖着
slave,vi.作苦工,vt.奴役
pacific,a.性情温和的,
watertight,a.不漏水的，防水的,
fowl,n.家禽；禽肉,
photography,n.摄影术,
embrace,vt.包括，包含；包围,
enchant,vt.迷住；用魔法迷惑,
ingenious,a.机灵的；精巧制成的,
poke,vt.戳，刺；伸(头等),
overseas,ad.在海外，(向)国外,
admiration,n.钦佩；赞美，羡慕,
cruelty,n.残酷；残酷行为,
pressure,n.电压；大气压力,
shovel,n.铲，铁铲,vt.铲
deform,vt.损坏…的形状,
complexity,n.复杂(性),
designate,vt.指出，指示；指定,
concession,n.让步，迁就,
observation,n.意见，短评，按语,
passport,n.达到目的的手段,
faction,n.派别，宗派，小集团,
